AAA,Authentication, Authorization, and Accounting
ACL,Access Control List
AES,Advanced Encryption Standard
AH,Authentication Header
AIS,Automated Indicator Sharing
ALE,Annualized Loss Expectancy
APT,Advanced Persistent Threat
ARO,Annualized Rate of Occurrence
ASLR,Address Space Layout Randomization
ATT&CK,Adversarial Tactics, Techniques, and Common Knowledge
BIOS,Basic Input/Output System
BGP,Border Gateway Protocol
BPDU,Bridge Protocol Data Unit
BYOD,Bring Your Own Device
CA,Certificate Authority
CAPTCHA,Completely Automated Public Turing Test to Tell Computers and Humans Apart
CBC,Cipher Block Chaining
CCMP,Counter Mode/CBC-MAC Protocol
CCTV,Closed-circuit Television
CERT,Computer Emergency Response Team
CHAP,Challenge Handshake Authentication Protocol
CIA,Confidentiality, Integrity, Availability
CIO,Chief Information Officer
CISO,Chief Information Security Officer
CSP,Cloud Service Provider
CSRF,Cross-site Request Forgery
CSS,Cascading Style Sheets
CSO,Chief Security Officer
CTO,Chief Technology Officer
CVSS,Common Vulnerability Scoring System
DBA,Database Administrator
DDoS,Distributed Denial of Service
DEP,Data Execution Prevention
DES,Data Encryption Standard
DHCP,Dynamic Host Configuration Protocol
DLL,Dynamic Link Library
DMARC,Domain-based Message Authentication, Reporting & Conformance
DLP,Data Loss Prevention
DNS,Domain Name System
DRP,Disaster Recovery Plan
DSA,Digital Signature Algorithm
ECDHE,Elliptic Curve Diffie-Hellman Ephemeral
ECC,Elliptic Curve Cryptography
EFS,Encrypted File System
ESP,Encapsulated Security Payload
FTP,File Transfer Protocol
FDE,Full Disk Encryption
GPG,Gnu Privacy Guard
GPS,Global Positioning System
GPU,Graphics Processing Unit
HIDS,Host-based Intrusion Detection System
HIPS,Host-based Intrusion Prevention System
HTML,Hypertext Markup Language
HTTP,Hypertext Transfer Protocol
HTTPS,Hypertext Transfer Protocol Secure
HVAC,Heating, Ventilation, and Air Conditioning
IAM,Identity and Access Management
ICMP,Internet Control Message Protocol
IDF,Intermediate Distribution Frame
IDS,Intrusion Detection System
IEC,International Electrotechnical Commission
IEEE,Institute of Electrical and Electronics Engineers
IKE,Internet Key Exchange
IMAP,Internet Message Access Protocol
IP,Internet Protocol
IPS,Intrusion Prevention System
IR,Incident Response
IRP,Incident Response Plan
ISSO,Information Systems Security Officer
ISP,Internet Service Provider
IT,Information Technology
IV,Initialization Vector
KDC,Key Distribution Center
LAN,Local Area Network
LDAP,Lightweight Directory Access Protocol
MAC,Media Access Control
MDF,Main Distribution Frame
MDM,Mobile Device Management
MITM,Man-in-the-Middle
ML,Machine Learning
MOU,Memorandum of Understanding
MPLS,Multiprotocol Label Switching
MSA,Master Service Agreement
MSCHAP,Microsoft Challenge Handshake Authentication Protocol
MTBF,Mean Time Between Failures
MTTF,Mean Time to Failure
MTU,Maximum Transmission Unit
NAC,Network Access Control
NDA,Non-disclosure Agreement
NIDS,Network-based Intrusion Detection System
NIPS,Network-based Intrusion Prevention System
NIST,National Institute of Standards and Technology
NTFS,New Technology File System
NTLM,New Technology LAN Manager
OAUTH,Open Authorization
OCSP,Online Certificate Status Protocol
OID,Object Identifier
OS,Operating System
OSI,Open Systems Interconnection
OT,Operational Technology
